gibrand,owner,consumers,type,price_per_liter_gbp,sulfate_so42,bicarbonate_hco,calcium_ca++,chloride_cl-,total_dissolved_solids_at_180c,magnesium_mg2,sodium_na+,silica_sio2,nitrate_no3-,potassium_k+ ,fluoride_f-,ph,remark
Highland Spring Water,Highland Spring,6132550,still,0.6,5.3,150,40.5,6.1,170,10.1,5.6,,3.1,0.7,,,
Evian,Danone,5939000,still,1,14,360,80,10,345,26,6.5,15,3.8,1,,,
Buxton Spring,Nestle,5141140,still,0.6,13,248,55,37,280,19,24,,0.1,1,,7.4,
Volvic,Danone,4489750,still,0.7,9,74,12,15,130,8,12,32,7.3,6,,,
Tesco,Tesco,3748080,still,0.2,11,25,11,14,,3,10,,,,,,
San Pellegrino,Nestle,2049090,sparkling,1.1,401,244,166,49.6,853,49.5,30,7.3,2.8,2.1,0.5,,
Sainsbury's,Sainsbury's,1954960,still,0.2,5,160,40,10,220,20,10,,1,0,,7.2,
Asda,Asda,1764320,still,0.2,10,166,40,11,228,14,6,,8,3,,7.8,
Harrogate Spa,Danone,1444100,still,2,13,215,57,37,,19,8,,1,,,7,
Pure Life,Nestle,1354900,still,0.4,9.7,184.6,59,18.1,248,10,11.9,,,1.2,,6.5,
Morrisons,Morrison Supermarkets,1253890,still,0.33,10,228,50,74,418,14,76,,0.4,7.5,,,
Aqua Pura,Source Alma,1234740,still,0.5,14,55,19,15,110,7,11,,20,3,,6.4,
Strathmore,AG Barr,1074840,still,1.7,1,145,75,155,453,15,56,,5,2.2,0.1,,carbonate caco3
Vittel,Nestle,1018200,still,0.5,400,384,240,,1084,42,5.2,,4.4,,,,
Glaceau Smartwater,Coca Cola,960110,still,1,77,10,1,1,,20,,,,5,1,7,not published in UK
Perrier,Nestle,811710,sparkling,1.85,33,430,160,22,480,4.2,9.5,,,,,,carbonate
Brecon Carreg,Brecon Carreg,785830,still,0.39,9,225,55,9,210,15,5,7,3.5,0.5,,7.6,
M&S,M&S,785570,still,0.4,13,135,42,10,135,9,12,,8,1,,7.4,
