"Title","UKProdTO: 11.07 - Manuf soft drinks: prodn mineral/other bottled water HOME (£m)"
"CDID","JQ5I"
"Source dataset ID","DIOP"
"PreUnit",""
"Unit",""
"Release date","12-01-2024"
"Next release","15 February 2024"
"Important notes",
"1998","2820.2"
"1999","3187.3"
"2000","3057.8"
"2001","3145.7"
"2002","3240.8"
"2003","3643.0"
"2004","3449.1"
"2005","3313.5"
"2006","3761.2"
"2007","3752.1"
"2008","3916.2"
"2009","4264.4"
"2010","3813.6"
"2011","3725.3"
"2012","3762.4"
"2013","3854.0"
"2014","4290.4"
"2015","4489.5"
"2016","4592.2"
"2017","4683.4"
"2018","5120.1"
"2019","5205.3"
"2020","4993.7"
"2021","6061.8"
"2022","6724.5"
"1998 Q1","622.4"
"1998 Q2","787.2"
"1998 Q3","718.2"
"1998 Q4","692.4"
"1999 Q1","642.8"
"1999 Q2","865.3"
"1999 Q3","899.6"
"1999 Q4","779.6"
"2000 Q1","652.7"
"2000 Q2","855.4"
"2000 Q3","798.1"
"2000 Q4","751.6"
"2001 Q1","628.2"
"2001 Q2","856.6"
"2001 Q3","857.1"
"2001 Q4","803.8"
"2002 Q1","658.8"
"2002 Q2","854.3"
"2002 Q3","893.7"
"2002 Q4","834.0"
"2003 Q1","729.3"
"2003 Q2","969.2"
"2003 Q3","1050.3"
"2003 Q4","894.2"
"2004 Q1","738.7"
"2004 Q2","937.2"
"2004 Q3","935.5"
"2004 Q4","837.7"
"2005 Q1","658.8"
"2005 Q2","847.5"
"2005 Q3","954.3"
"2005 Q4","852.9"
"2006 Q1","783.4"
"2006 Q2","1005.6"
"2006 Q3","1050.6"
"2006 Q4","921.6"
"2007 Q1","796.6"
"2007 Q2","998.4"
"2007 Q3","1007.6"
"2007 Q4","949.5"
"2008 Q1","839.4"
"2008 Q2","1061.9"
"2008 Q3","1027.3"
"2008 Q4","987.6"
"2009 Q1","897.9"
"2009 Q2","1161.1"
"2009 Q3","1138.1"
"2009 Q4","1067.3"
"2010 Q1","891.5"
"2010 Q2","1063.9"
"2010 Q3","988.0"
"2010 Q4","870.2"
"2011 Q1","762.7"
"2011 Q2","1011.9"
"2011 Q3","1010.6"
"2011 Q4","940.1"
"2012 Q1","804.2"
"2012 Q2","1030.1"
"2012 Q3","990.6"
"2012 Q4","937.5"
"2013 Q1","778.7"
"2013 Q2","999.9"
"2013 Q3","1117.4"
"2013 Q4","958.0"
"2014 Q1","883.2"
"2014 Q2","1149.1"
"2014 Q3","1195.5"
"2014 Q4","1062.6"
"2015 Q1","931.2"
"2015 Q2","1209.0"
"2015 Q3","1213.1"
"2015 Q4","1136.2"
"2016 Q1","978.3"
"2016 Q2","1205.4"
"2016 Q3","1261.6"
"2016 Q4","1146.9"
"2017 Q1","999.1"
"2017 Q2","1287.6"
"2017 Q3","1243.1"
"2017 Q4","1153.6"
"2018 Q1","1043.5"
"2018 Q2","1345.0"
"2018 Q3","1454.2"
"2018 Q4","1277.4"
"2019 Q1","1116.0"
"2019 Q2","1359.7"
"2019 Q3","1442.4"
"2019 Q4","1287.2"
"2020 Q1","1163.5"
"2020 Q2","1177.1"
"2020 Q3","1416.7"
"2020 Q4","1236.4"
"2021 Q1","1197.3"
"2021 Q2","1628.9"
"2021 Q3","1654.8"
"2021 Q4","1580.8"
"2022 Q1","1382.3"
"2022 Q2","1748.4"
"2022 Q3","1894.3"
"2022 Q4","1699.5"
"2023 Q1","1615.7"
"2023 Q2","2053.8"
"2023 Q3","1928.3"
"1998 JAN","183.0"
"1998 FEB","196.4"
"1998 MAR","243.0"
"1998 APR","247.7"
"1998 MAY","287.9"
"1998 JUN","251.6"
"1998 JUL","252.6"
"1998 AUG","262.8"
"1998 SEP","202.8"
