"Title","PPI INDEX OUTPUT DOMESTIC - C1107 Soft drinks; mineral waters and other bottled waters 2015=100"
"CDID","EVPU"
"Source dataset ID","MM22"
"PreUnit",""
"Unit",""
"Release date","17-01-2024"
"Next release","14 February 2024"
"Important notes",
"2009","95.6"
"2010","94.8"
"2011","94.8"
"2012","104.2"
"2013","107.5"
"2014","99.9"
"2015","100.0"
"2016","99.5"
"2017","98.8"
"2018","100.4"
"2019","102.7"
"2020","103.8"
"2021","105.3"
"2022","113.5"
"2023","121.2"
"2009 Q1","94.6"
"2009 Q2","96.9"
"2009 Q3","95.5"
"2009 Q4","95.5"
"2010 Q1","92.9"
"2010 Q2","95.8"
"2010 Q3","95.1"
"2010 Q4","95.6"
"2011 Q1","94.9"
"2011 Q2","94.7"
"2011 Q3","94.8"
"2011 Q4","94.9"
"2012 Q1","98.6"
"2012 Q2","105.9"
"2012 Q3","106.4"
"2012 Q4","106.0"
"2013 Q1","107.0"
"2013 Q2","108.0"
"2013 Q3","107.5"
"2013 Q4","107.5"
"2014 Q1","107.8"
"2014 Q2","99.7"
"2014 Q3","95.9"
"2014 Q4","96.3"
"2015 Q1","101.0"
"2015 Q2","99.6"
"2015 Q3","99.5"
"2015 Q4","99.9"
"2016 Q1","102.0"
"2016 Q2","99.8"
"2016 Q3","98.0"
"2016 Q4","98.1"
"2017 Q1","98.3"
"2017 Q2","98.5"
"2017 Q3","99.1"
"2017 Q4","99.4"
"2018 Q1","100.0"
"2018 Q2","101.5"
"2018 Q3","98.8"
"2018 Q4","101.4"
"2019 Q1","101.5"
"2019 Q2","106.3"
"2019 Q3","101.5"
"2019 Q4","101.7"
"2020 Q1","103.2"
"2020 Q2","103.3"
"2020 Q3","104.3"
"2020 Q4","104.5"
"2021 Q1","104.7"
"2021 Q2","105.1"
"2021 Q3","106.0"
"2021 Q4","105.5"
"2022 Q1","110.7"
"2022 Q2","112.9"
"2022 Q3","113.0"
"2022 Q4","117.5"
"2023 Q1","121.2"
"2023 Q2","120.0"
"2023 Q3","121.2"
"2023 Q4","122.3"
"1996 JAN","77.0"
"1996 FEB","80.6"
"1996 MAR","78.6"
"1996 APR","79.3"
"1996 MAY","79.4"
"1996 JUN","78.5"
"1996 JUL","77.8"
"1996 AUG","78.9"
"1996 SEP","77.6"
"1996 OCT","79.4"
"1996 NOV","78.2"
"1996 DEC","79.1"
"1997 JAN","78.1"
"1997 FEB","81.2"
"1997 MAR","78.9"
"1997 APR","81.1"
"1997 MAY","80.2"
"1997 JUN","80.5"
"1997 JUL","82.1"
"1997 AUG","81.7"
"1997 SEP","80.5"
"1997 OCT","81.5"
"1997 NOV","78.7"
"1997 DEC","81.4"
"1998 JAN","81.3"
"1998 FEB","82.8"
"1998 MAR","83.6"
"1998 APR","82.9"
"1998 MAY","82.3"
"1998 JUN","78.7"
"1998 JUL","78.8"
"1998 AUG","78.8"
"1998 SEP","78.6"
"1998 OCT","78.5"
"1998 NOV","78.8"
"1998 DEC","79.3"
"1999 JAN","80.4"
"1999 FEB","80.2"
"1999 MAR","80.8"
"1999 APR","80.8"
"1999 MAY","81.2"
"1999 JUN","79.1"
"1999 JUL","80.2"
"1999 AUG","79.3"
"1999 SEP","78.7"
"1999 OCT","77.6"
"1999 NOV","77.4"
"1999 DEC","79.8"
"2000 JAN","81.5"
"2000 FEB","80.4"
"2000 MAR","80.4"
"2000 APR","80.4"
"2000 MAY","81.2"
"2000 JUN","81.1"
"2000 JUL","82.1"
"2000 AUG","81.9"
"2000 SEP","81.4"
"2000 OCT","81.7"
"2000 NOV","81.3"
"2000 DEC","80.9"
"2001 JAN","81.2"
"2001 FEB","81.1"
"2001 MAR","81.0"
"2001 APR","78.4"
"2001 MAY","80.6"
"2001 JUN","80.3"
"2001 JUL","79.8"
"2001 AUG","79.8"
"2001 SEP","80.1"
"2001 OCT","80.3"
"2001 NOV","80.0"
"2001 DEC","80.3"
"2002 JAN","80.4"
"2002 FEB","80.4"
"2002 MAR","81.0"
"2002 APR","81.1"
"2002 MAY","81.3"
"2002 JUN","81.3"
"2002 JUL","81.2"
"2002 AUG","81.4"
"2002 SEP","81.2"
"2002 OCT","80.9"
"2002 NOV","80.3"
"2002 DEC","80.9"
"2003 JAN","80.8"
"2003 FEB","80.5"
"2003 MAR","82.4"
"2003 APR","82.1"
"2003 MAY","82.6"
"2003 JUN","82.7"
"2003 JUL","82.8"
"2003 AUG","83.0"
"2003 SEP","83.0"
"2003 OCT","82.8"
"2003 NOV","82.8"
"2003 DEC","82.8"
"2004 JAN","82.6"
"2004 FEB","82.6"
"2004 MAR","83.5"
"2004 APR","83.8"
"2004 MAY","83.8"
"2004 JUN","84.0"
"2004 JUL","83.5"
"2004 AUG","82.8"
"2004 SEP","83.8"
"2004 OCT","81.8"
"2004 NOV","82.4"
"2004 DEC","83.3"
"2005 JAN","83.6"
"2005 FEB","83.7"
"2005 MAR","84.5"
"2005 APR","84.7"
"2005 MAY","84.6"
"2005 JUN","84.7"
"2005 JUL","84.7"
"2005 AUG","84.2"
"2005 SEP","84.2"
"2005 OCT","84.9"
"2005 NOV","84.4"
"2005 DEC","84.5"
"2006 JAN","85.0"
"2006 FEB","85.3"
"2006 MAR","86.8"
"2006 APR","85.7"
"2006 MAY","86.7"
"2006 JUN","86.6"
"2006 JUL","86.8"
"2006 AUG","86.9"
"2006 SEP","86.9"
"2006 OCT","86.9"
"2006 NOV","86.9"
"2006 DEC","86.7"
"2007 JAN","86.8"
"2007 FEB","87.1"
"2007 MAR","89.4"
"2007 APR","89.2"
"2007 MAY","89.5"
"2007 JUN","89.4"
"2007 JUL","89.4"
"2007 AUG","89.7"
"2007 SEP","89.5"
"2007 OCT","89.3"
"2007 NOV","89.2"
"2007 DEC","89.5"
"2008 JAN","89.3"
"2008 FEB","89.7"
"2008 MAR","91.0"
"2008 APR","91.1"
"2008 MAY","92.6"
"2008 JUN","93.0"
"2008 JUL","92.3"
"2008 AUG","93.2"
"2008 SEP","93.5"
"2008 OCT","93.1"
"2008 NOV","93.4"
"2008 DEC","93.5"
"2009 JAN","94.1"
"2009 FEB","94.0"
"2009 MAR","95.8"
"2009 APR","96.3"
"2009 MAY","96.6"
"2009 JUN","97.6"
"2009 JUL","95.4"
"2009 AUG","95.8"
"2009 SEP","95.2"
"2009 OCT","95.2"
"2009 NOV","95.3"
"2009 DEC","95.9"
"2010 JAN","90.8"
"2010 FEB","92.9"
"2010 MAR","94.9"
"2010 APR","95.9"
"2010 MAY","95.5"
"2010 JUN","96.0"
"2010 JUL","95.3"
"2010 AUG","95.3"
"2010 SEP","94.6"
"2010 OCT","95.2"
"2010 NOV","96.2"
"2010 DEC","95.4"
"2011 JAN","94.8"
"2011 FEB","96.4"
"2011 MAR","93.5"
"2011 APR","93.5"
"2011 MAY","95.2"
"2011 JUN","95.3"
"2011 JUL","94.4"
"2011 AUG","94.9"
"2011 SEP","95.0"
"2011 OCT","94.9"
"2011 NOV","94.9"
"2011 DEC","95.1"
"2012 JAN","95.2"
"2012 FEB","95.9"
"2012 MAR","104.8"
"2012 APR","106.1"
"2012 MAY","105.3"
"2012 JUN","106.3"
"2012 JUL","106.0"
"2012 AUG","106.8"
"2012 SEP","106.3"
"2012 OCT","106.3"
"2012 NOV","106.0"
"2012 DEC","105.6"
"2013 JAN","106.1"
"2013 FEB","107.2"
"2013 MAR","107.8"
"2013 APR","108.0"
"2013 MAY","108.1"
"2013 JUN","107.9"
"2013 JUL","107.6"
"2013 AUG","107.4"
"2013 SEP","107.4"
"2013 OCT","107.3"
"2013 NOV","107.5"
"2013 DEC","107.8"
"2014 JAN","107.1"
"2014 FEB","108.1"
"2014 MAR","108.2"
"2014 APR","107.6"
"2014 MAY","96.5"
"2014 JUN","94.9"
"2014 JUL","96.0"
"2014 AUG","95.3"
"2014 SEP","96.3"
"2014 OCT","95.8"
"2014 NOV","96.6"
"2014 DEC","96.5"
"2015 JAN","100.4"
"2015 FEB","101.9"
"2015 MAR","100.8"
"2015 APR","99.9"
"2015 MAY","99.4"
"2015 JUN","99.5"
"2015 JUL","99.5"
"2015 AUG","99.2"
"2015 SEP","99.8"
"2015 OCT","99.8"
"2015 NOV","99.7"
"2015 DEC","100.2"
"2016 JAN","100.5"
"2016 FEB","100.7"
"2016 MAR","105.0"
"2016 APR","103.3"
"2016 MAY","98.5"
"2016 JUN","97.6"
"2016 JUL","97.3"
"2016 AUG","97.8"
"2016 SEP","98.9"
"2016 OCT","98.2"
"2016 NOV","97.7"
"2016 DEC","98.4"
"2017 JAN","98.4"
"2017 FEB","98.3"
"2017 MAR","98.3"
"2017 APR","98.3"
"2017 MAY","98.5"
"2017 JUN","98.8"
"2017 JUL","98.7"
"2017 AUG","99.1"
"2017 SEP","99.4"
"2017 OCT","99.2"
"2017 NOV","98.3"
"2017 DEC","100.6"
"2018 JAN","99.8"
"2018 FEB","100.0"
"2018 MAR","100.1"
"2018 APR","101.9"
"2018 MAY","101.3"
"2018 JUN","101.4"
"2018 JUL","97.2"
"2018 AUG","97.9"
"2018 SEP","101.3"
"2018 OCT","101.3"
"2018 NOV","101.5"
"2018 DEC","101.3"
"2019 JAN","101.2"
"2019 FEB","101.8"
"2019 MAR","101.4"
"2019 APR","104.9"
"2019 MAY","106.8"
"2019 JUN","107.2"
"2019 JUL","101.7"
"2019 AUG","101.3"
"2019 SEP","101.4"
"2019 OCT","101.8"
"2019 NOV","101.7"
"2019 DEC","101.6"
"2020 JAN","102.4"
"2020 FEB","103.7"
"2020 MAR","103.5"
"2020 APR","103.0"
"2020 MAY","102.4"
"2020 JUN","104.4"
"2020 JUL","104.1"
"2020 AUG","104.4"
"2020 SEP","104.5"
"2020 OCT","104.5"
"2020 NOV","104.9"
"2020 DEC","104.1"
"2021 JAN","104.1"
"2021 FEB","105.0"
"2021 MAR","105.0"
"2021 APR","105.2"
"2021 MAY","104.6"
"2021 JUN","105.6"
"2021 JUL","106.4"
"2021 AUG","105.6"
"2021 SEP","106.1"
"2021 OCT","104.2"
"2021 NOV","106.7"
"2021 DEC","105.7"
"2022 JAN","108.1"
"2022 FEB","111.6"
"2022 MAR","112.3"
"2022 APR","112.9"
"2022 MAY","112.7"
"2022 JUN","113.1"
"2022 JUL","113.1"
"2022 AUG","112.9"
"2022 SEP","113.2"
"2022 OCT","114.5"
"2022 NOV","117.9"
"2022 DEC","120.2"
"2023 JAN","121.9"
"2023 FEB","121.4"
"2023 MAR","120.3"
"2023 APR","122.3"
"2023 MAY","120.2"
"2023 JUN","117.4"
"2023 JUL","123.3"
"2023 AUG","120.6"
"2023 SEP","119.8"
"2023 OCT","119.6"
"2023 NOV","122.8"
"2023 DEC","124.4"
